#OTU_ID	1.fasta	2.fasta	3.fasta	4.fasta	5.fasta	6.fasta	7.fasta	8.fasta	9.fasta	10.fasta	11.fasta	12.fasta	13.fasta	14.fasta	15.fasta	16.fasta
Acidobacteriia	0	0	0	0	0	0	799.0	0	0	799.0	930.0	0	0	0	0	0
Actinobacteria	0	0	0	0	3882.0	0	3647.0	5975.0	994.0	8861.0	10295.0	1067.0	1729.0	22522.0	13466.0	1759.0
Bacteroidia	0	0	0	0	4434.0	387.0	2499.0	2198.0	1186.0	4315.0	4273.0	801.0	359.0	4579.0	207.0	2869.0
Flavobacteriia	0	0	0	0	1519.0	0	133.0	0	1388.0	2494.0	4451.0	0	1992.0	2319.0	4793.0	0
Sphingobacteriia	0	0	0	0	740.0	0	1113.0	1399.0	1330.0	0	3127.0	0	380.0	1110.0	0	0
Deinococci	0	0	0	0	0	891.0	445.0	0	0	1336.0	445.0	0	0	0	0	0
Bacilli	188.0	48966.0	0	0	0	0	0	24.0	566.0	0	0	0	212.0	0	516.0	0
Clostridia	2486.0	0	224746.0	54.0	8213.0	1159.0	288.0	2191.0	1866.0	0	3747.0	3552.0	4042.0	10717.0	1439.0	0
Negativicutes	0	0	0	0	1818.0	0	909.0	909.0	0	0	0	0	0	540.0	540.0	0
Fusobacteriia	217.0	0	57676.0	0	0	0	234.0	663.0	0	442.0	877.0	0	0	0	0	0
Alphaproteobacteria	0	0	987.0	0	1541.0	0	1541.0	0	669.0	822.0	1040.0	0	1541.0	0	146.0	1541.0
Betaproteobacteria	243.0	0	0	0	758.0	3104.0	1483.0	4300.0	278.0	8198.0	21616.0	2535.0	1263.0	0	511.0	0
Gammaproteobacteria	3820216.0	4313786.0	1931692.0	43110.0	14182.0	25564.0	37532.0	121322.0	4677.0	24816.0	41596.0	1753.0	7677.0	249.0	686.0	84.0
Mollicutes	0	0	0	0	418.0	0	0	0	0	0	0	0	0	19.0	0	0
Thermodesulfobacteria	0	0	0	0	1304.0	130.0	0	0	0	0	0	0	261.0	261.0	0	0
Coccidia	0	0	0	156.0	0	0	0	0	1353.0	0	0	2239.0	320.0	0	0	1191.0
Viruses_noname	17.0	0	0	225.0	0	300.0	69.0	484.0	69.0	251.0	132.0	92.0	413.0	263.0	138.0	242.0

