#OTU_ID	1.fasta	2.fasta	3.fasta	4.fasta	5.fasta	6.fasta	7.fasta	8.fasta	9.fasta	10.fasta	11.fasta	12.fasta	13.fasta	14.fasta	15.fasta	16.fasta
Acidobacteriaceae	0	0	0	0	0	0	799.0	0	0	799.0	930.0	0	0	0	0	0
Actinomycetaceae	0	0	0	0	2642.0	0	898.0	4066.0	78.0	3991.0	3249.0	0	0	15325.0	5539.0	0
Brevibacteriaceae	0	0	0	0	0	0	2360.0	0	0	1180.0	1180.0	0	0	0	3539.0	0
Dermabacteraceae	0	0	0	0	0	0	0	0	0	0	829.0	0	0	0	1658.0	0
Dermatophilaceae	0	0	0	0	0	0	0	0	0	1314.0	1314.0	1314.0	0	0	0	0
Microbacteriaceae	0	0	0	0	0	0	0	0	0	0	1362.0	0	734.0	0	0	0
Propionibacteriaceae	0	0	0	0	0	0	0	0	922.0	0	922.0	0	922.0	0	0	1844.0
Marinilabiliaceae	0	0	0	0	0	0	0	0	0	653.0	188.0	0	0	0	0	0
Porphyromonadaceae	0	0	0	0	4690.0	409.0	2643.0	2324.0	1254.0	4008.0	4358.0	847.0	379.0	4843.0	219.0	3035.0
Flavobacteriaceae	0	0	0	0	1948.0	0	173.0	0	1813.0	3257.0	5812.0	0	2602.0	3029.0	6224.0	0
Sphingobacteriaceae	0	0	0	0	694.0	0	1045.0	1313.0	1248.0	0	2935.0	0	356.0	1042.0	0	0
Deinococcaceae	0	0	0	0	0	1052.0	526.0	0	0	1577.0	526.0	0	0	0	0	0
Planococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	305.0	0	742.0	0
Enterococcaceae	150.0	37503.0	0	0	0	0	0	19.0	453.0	0	0	0	0	0	0	0
Clostridiaceae	1547.0	0	167075.0	62.0	0	0	0	868.0	0	0	0	869.0	2010.0	0	0	0
Lachnospiraceae	0	0	0	0	0	0	0	0	2176.0	0	588.0	0	0	0	0	0
Peptostreptococcaceae	970.0	0	68119.0	0	6787.0	970.0	0	970.0	0	0	1939.0	1939.0	1939.0	8726.0	0	0
Ruminococcaceae	0	0	0	0	0	0	376.0	376.0	0	0	1208.0	638.0	0	376.0	1878.0	0
Veillonellaceae	0	0	0	0	2133.0	0	1066.0	1066.0	0	0	0	0	0	634.0	634.0	0
Leptotrichiaceae	228.0	0	50250.0	0	0	0	245.0	695.0	0	463.0	918.0	0	0	0	0	0
Bartonellaceae	0	0	0	0	794.0	0	794.0	0	0	0	0	0	794.0	0	0	794.0
Rhodobacteraceae	0	0	0	0	0	0	0	0	913.0	1122.0	1419.0	0	0	0	200.0	0
Alcaligenaceae	0	0	0	0	0	0	1195.0	0	0	0	2971.0	0	0	0	0	0
Burkholderiales_noname	0	0	0	0	0	0	0	1329.0	0	1329.0	2658.0	1329.0	0	0	0	0
Comamonadaceae	0	0	0	0	0	0	0	0	0	3387.0	10085.0	1612.0	586.0	0	0	0
Hydrogenophilaceae	0	0	0	0	0	0	0	0	0	2740.0	5368.0	525.0	0	0	0	0
Neisseriaceae	251.0	0	0	0	784.0	2053.0	527.0	3401.0	0	544.0	2663.0	0	921.0	0	528.0	0
Rhodocyclaceae	0	0	0	0	0	0	0	0	0	2512.0	2640.0	0	0	0	0	0
Alteromonadaceae	0	0	0	0	0	0	0	0	1477.0	11113.0	13771.0	0	0	0	0	0
Ectothiorhodospiraceae	0	0	0	0	0	0	0	0	0	1106.0	1106.0	0	0	0	0	0
Enterobacteriaceae	4225839.0	4771411.0	7020.0	41038.0	11667.0	21599.0	26330.0	103136.0	1620.0	1080.0	4223.0	0	540.0	0	540.0	0
Halomonadaceae	0	0	0	0	1398.0	1398.0	4195.0	0	0	4195.0	0	0	0	0	0	0
Pasteurellaceae	0	0	23740.0	0	0	0	0	1970.0	0	367.0	1796.0	0	0	0	0	0
Moraxellaceae	635.0	0	0	0	0	0	0	0	1534.0	367.0	3152.0	0	2455.0	0	151.0	0
Pseudomonadaceae	0	0	0	0	0	0	0	0	0	10337.0	23259.0	2584.0	2584.0	0	0	0
Vibrionaceae	724.0	724.0	2424911.0	7738.0	1716.0	5250.0	11033.0	32137.0	0	0	0	0	0	0	0	0
Xanthomonadaceae	0	1430.0	0	0	0	251.0	0	0	0	402.0	1964.0	0	2311.0	259.0	0	88.0
Thermodesulfobacteriaceae	0	0	0	0	1304.0	130.0	0	0	0	0	0	0	261.0	261.0	0	0
Eimeriidae	0	0	0	9.0	0	0	0	0	78.0	0	0	129.0	19.0	0	0	69.0
Retroviridae	3.0	0	0	37.0	0	23.0	11.0	80.0	11.0	39.0	22.0	14.0	69.0	44.0	23.0	40.0

