#OTU_ID	1.fasta	2.fasta	3.fasta	4.fasta	5.fasta	6.fasta	7.fasta	8.fasta	9.fasta	10.fasta	11.fasta	12.fasta	13.fasta	14.fasta	15.fasta	16.fasta
Acidobacteriaceae_unclassified	0	0	0	0	0	0	117.0	0	0	799.0	248.0	0	0	0	0	0
Granulicella	0	0	0	0	0	0	740.0	0	0	0	740.0	0	0	0	0	0
Actinobaculum	0	0	0	0	2311.0	0	787.0	3744.0	0	3744.0	3034.0	0	0	14586.0	5298.0	0
Mobiluncus	0	0	0	0	236.0	0	79.0	158.0	81.0	80.0	80.0	0	0	82.0	0	0
Brevibacterium	0	0	0	0	0	0	2360.0	0	0	1180.0	1180.0	0	0	0	3539.0	0
Dermabacteraceae_unclassified	0	0	0	0	0	0	0	0	0	0	829.0	0	0	0	1658.0	0
Dermatophilaceae_unclassified	0	0	0	0	0	0	0	0	0	1314.0	1314.0	1314.0	0	0	0	0
Leifsonia	0	0	0	0	0	0	0	0	0	0	1150.0	0	544.0	0	0	0
Propionibacteriaceae_unclassified	0	0	0	0	0	0	0	0	922.0	0	922.0	0	922.0	0	0	605.0
Marinilabiliaceae_unclassified	0	0	0	0	0	0	0	0	0	653.0	188.0	0	0	0	0	0
Dysgonomonas	0	0	0	0	2242.0	129.0	301.0	436.0	907.0	1336.0	1731.0	0	253.0	3406.0	206.0	127.0
Parabacteroides	0	0	0	0	3759.0	409.0	3292.0	2686.0	630.0	3919.0	3923.0	633.0	217.0	2552.0	0	0
Porphyromonas	0	0	0	0	0	0	0	0	0	0	0	215.0	0	0	21.0	1608.0
Cellulophaga	0	0	0	0	1995.0	0	0	0	0	997.0	997.0	0	997.0	1995.0	997.0	0
Gillisia	0	0	0	0	224.0	0	0	0	463.0	1616.0	0	0	937.0	0	1457.0	0
Myroides	0	0	0	0	0	0	185.0	0	0	0	1388.0	0	797.0	0	453.0	0
Riemerella	0	0	0	0	0	0	0	0	821.0	422.0	2240.0	0	0	821.0	2111.0	0
Pedobacter	0	0	0	0	0	0	0	1133.0	1077.0	0	2232.0	0	0	0	0	0
