#OTU_ID	1.fasta	2.fasta	3.fasta	4.fasta	5.fasta	6.fasta	7.fasta	8.fasta	9.fasta	10.fasta	11.fasta	12.fasta	13.fasta	14.fasta	15.fasta	16.fasta
Acidobacteriales	0	0	0	0	0	0	799.0	0	0	799.0	930.0	0	0	0	0	0
Actinomycetales	0	0	0	0	5842.0	0	5489.0	8991.0	1495.0	13334.0	15369.0	1606.0	2602.0	33892.0	20264.0	2648.0
Bacteroidales	0	0	0	0	4434.0	387.0	2499.0	2198.0	1186.0	4315.0	4273.0	801.0	359.0	4579.0	207.0	2869.0
Flavobacteriales	0	0	0	0	1326.0	0	116.0	0	1212.0	2178.0	3886.0	0	1739.0	2025.0	4185.0	0
Sphingobacteriales	0	0	0	0	740.0	0	1113.0	1399.0	1330.0	0	3127.0	0	380.0	1110.0	0	0
Deinococcales	0	0	0	0	0	1024.0	512.0	0	0	1535.0	512.0	0	0	0	0	0
Bacillales	0	2616.0	0	0	0	0	0	0	0	0	0	0	267.0	0	649.0	0
Lactobacillales	139.0	34792.0	0	0	0	0	0	18.0	420.0	0	0	0	0	0	0	0
Clostridiales	2705.0	0	244476.0	58.0	8934.0	1261.0	313.0	2384.0	2030.0	0	4076.0	3864.0	4397.0	11658.0	1565.0	0
Selenomonadales	0	0	0	0	1818.0	0	909.0	909.0	0	0	0	0	0	540.0	540.0	0
Fusobacteriales	217.0	0	57676.0	0	0	0	234.0	663.0	0	442.0	877.0	0	0	0	0	0
Rhizobiales	0	0	1131.0	0	1765.0	0	1765.0	0	0	0	0	0	1765.0	0	0	1765.0
Rhodobacterales	0	0	0	0	0	0	0	0	863.0	1060.0	1341.0	0	0	0	189.0	0
Burkholderiales	0	0	0	0	0	0	1273.0	1318.0	363.0	4127.0	14165.0	2656.0	486.0	0	0	0
Hydrogenophilales	0	0	0	0	0	0	0	0	0	2740.0	5368.0	525.0	0	0	0	0
Neisseriales	251.0	0	0	0	784.0	2053.0	527.0	3401.0	0	544.0	2663.0	0	921.0	0	528.0	0
Rhodocyclales	0	0	0	0	0	0	0	0	0	2512.0	2640.0	0	0	0	0	0
Alteromonadales	0	0	0	0	0	0	0	0	1474.0	11084.0	13736.0	0	0	0	0	0
Chromatiales	0	0	0	0	0	0	0	0	0	1140.0	1140.0	0	0	0	0	0
Enterobacteriales	4225839.0	4771411.0	7020.0	41038.0	11667.0	21599.0	26330.0	103136.0	1620.0	1080.0	4223.0	0	540.0	0	540.0	0
Oceanospirillales	0	0	0	0	2831.0	2109.0	6328.0	0	0	6328.0	0	0	0	0	0	0
Pasteurellales	0	0	23740.0	0	0	0	0	1970.0	0	367.0	1796.0	0	0	0	0	0
Pseudomonadales	930.0	0	0	0	0	0	0	0	2246.0	8386.0	22274.0	1962.0	5557.0	0	222.0	0
Vibrionales	809.0	809.0	2706957.0	8638.0	1916.0	5861.0	12316.0	35875.0	0	0	0	0	0	0	0	0
Xanthomonadales	0	1576.0	0	0	0	277.0	0	0	0	443.0	3033.0	0	2547.0	285.0	0	97.0
Thermodesulfobacteriales	0	0	0	0	1304.0	130.0	0	0	0	0	0	0	261.0	261.0	0	0
Eucoccidiorida	0	0	0	156.0	0	0	0	0	1353.0	0	0	2239.0	320.0	0	0	1191.0
Viruses_noname	18.0	0	0	230.0	0	308.0	71.0	496.0	71.0	257.0	135.0	94.0	423.0	270.0	142.0	248.0

