#OTU_ID	1.fasta	2.fasta	3.fasta	4.fasta	5.fasta	6.fasta	7.fasta	8.fasta	9.fasta	10.fasta	11.fasta	12.fasta	13.fasta	14.fasta	15.fasta	16.fasta
Acidobacteria	0	0	0	0	0	0	974.0	0	0	974.0	1134.0	0	0	0	0	0
Actinobacteria	0	0	0	0	3882.0	0	3647.0	5975.0	994.0	8861.0	10295.0	1067.0	1729.0	22522.0	13466.0	1759.0
Bacteroidetes	0	0	654.0	0	7722.0	432.0	3752.0	3413.0	4308.0	8536.0	13555.0	894.0	3633.0	9332.0	7379.0	3202.0
Deinococcus_Thermus	0	0	0	0	0	891.0	445.0	0	0	1336.0	445.0	0	0	0	0	0
Firmicutes	2471.0	47822.0	206813.0	49.0	9391.0	1066.0	1181.0	2957.0	2271.0	0	3448.0	3269.0	3927.0	10407.0	2373.0	0
Fusobacteria	217.0	0	57676.0	0	0	0	234.0	663.0	0	442.0	877.0	0	0	0	0	0
Proteobacteria	3250059.0	3669685.0	1644105.0	36673.0	14150.0	24928.0	34757.0	107613.0	4831.0	30209.0	58418.0	4089.0	9133.0	407.0	1231.0	1380.0
Tenericutes	0	0	0	0	418.0	0	0	0	0	0	0	0	0	19.0	0	0
Thermodesulfobacteria	0	0	0	0	1304.0	130.0	0	0	0	0	0	0	261.0	261.0	0	0
Apicomplexa	0	0	0	126.0	0	0	0	0	1094.0	0	0	1811.0	259.0	0	0	963.0
Viruses_noname	17.0	0	0	225.0	0	300.0	69.0	484.0	69.0	251.0	132.0	92.0	413.0	263.0	138.0	242.0

