#OTU_ID	1.fasta	2.fasta	3.fasta	4.fasta	5.fasta	6.fasta	7.fasta	8.fasta	9.fasta	10.fasta	11.fasta	12.fasta	13.fasta	14.fasta	15.fasta	16.fasta
Granulicella_unclassified	0	0	0	0	0	0	740.0	0	0	0	740.0	0	0	0	0	0
Actinobaculum_unclassified	0	0	0	0	2311.0	0	787.0	3744.0	0	3744.0	3034.0	0	0	14586.0	5298.0	0
Mobiluncus_unclassified	0	0	0	0	236.0	0	79.0	158.0	81.0	80.0	80.0	0	0	82.0	0	0
Brevibacterium_unclassified	0	0	0	0	0	0	2360.0	0	0	1180.0	1180.0	0	0	0	3539.0	0
Leifsonia_unclassified	0	0	0	0	0	0	0	0	0	0	1150.0	0	544.0	0	0	0
Dysgonomonas_unclassified	0	0	0	0	2242.0	129.0	301.0	436.0	907.0	1336.0	1731.0	0	253.0	3406.0	206.0	127.0
Parabacteroides_unclassified	0	0	0	0	3759.0	409.0	3292.0	2686.0	630.0	3919.0	3923.0	633.0	217.0	2552.0	0	0
Porphyromonas_asaccharolytica	0	0	0	0	0	0	0	0	0	0	0	213.0	0	0	21.0	1597.0
Cellulophaga_unclassified	0	0	0	0	1995.0	0	0	0	0	997.0	997.0	0	997.0	1995.0	997.0	0
Gillisia_unclassified	0	0	0	0	224.0	0	0	0	463.0	1616.0	0	0	937.0	0	1457.0	0
Myroides_unclassified	0	0	0	0	0	0	185.0	0	0	0	1388.0	0	797.0	0	453.0	0
Riemerella_unclassified	0	0	0	0	0	0	0	0	821.0	422.0	2240.0	0	0	821.0	2111.0	0
Pedobacter_unclassified	0	0	0	0	0	0	0	1133.0	1077.0	0	2232.0	0	0	0	0	0
Sphingobacterium_unclassified	0	0	0	0	676.0	0	1017.0	0	0	0	339.0	0	347.0	1014.0	0	0
Deinococcus_unclassified	0	0	0	0	0	1052.0	526.0	0	0	1577.0	526.0	0	0	0	0	0
Planococcus_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	274.0	0	667.0	0
Enterococcus_faecalis	214.0	53303.0	0	0	0	0	0	28.0	0	0	0	0	0	0	0	0
Clostridium_perfringens	1625.0	0	129309.0	66.0	0	0	0	912.0	0	0	0	913.0	2111.0	0	0	0
Peptostreptococcaceae_noname_unclassified	1315.0	0	48061.0	0	9203.0	1315.0	0	1315.0	0	0	2629.0	2629.0	2629.0	11832.0	0	0
Anaerotruncus_unclassified	0	0	0	0	0	0	0	0	0	0	1181.0	624.0	0	0	0	0
Subdoligranulum_unclassified	0	0	0	0	0	0	373.0	373.0	0	0	0	0	0	373.0	1866.0	0
Megasphaera_unclassified	0	0	0	0	1450.0	0	725.0	725.0	0	0	0	0	0	0	0	0
Mitsuokella_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	503.0	503.0	0
Bartonella_unclassified	0	0	0	0	794.0	0	794.0	0	0	0	0	0	794.0	0	0	794.0
Paracoccus_unclassified	0	0	0	0	0	0	0	0	0	153.0	1043.0	0	0	0	147.0	0
Rhodobacteraceae_noname_unclassified	0	0	0	0	0	0	0	0	730.0	730.0	0	0	0	0	0	0
Pusillimonas_unclassified	0	0	0	0	0	0	1241.0	0	0	0	1241.0	0	0	0	0	0
Thiomonas_unclassified	0	0	0	0	0	0	0	1252.0	0	1252.0	2504.0	1252.0	0	0	0	0
